,Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
171,2021-12-03,03.12.2021,*7197,OK,-167.96,RUB,-167.96,RUB,,Супермаркеты,5411.0,Магнит,3,0,167.96
176,2021-12-02,02.12.2021,*7197,OK,-496.51,RUB,-496.51,RUB,,Супермаркеты,5411.0,Магнит,9,0,496.51
179,2021-12-01,01.12.2021,*7197,OK,-99.22,RUB,-99.22,RUB,,Супермаркеты,5411.0,Дикси,1,0,99.22
184,2021-11-30,30.11.2021,*4556,OK,-41.0,RUB,-41.0,RUB,2.0,Супермаркеты,5411.0,Перекрёсток,2,0,41.0
193,2021-11-29,29.11.2021,*4556,OK,-100.71,RUB,-100.71,RUB,5.0,Супермаркеты,5411.0,Колхоз,5,0,100.71
195,2021-11-28,28.11.2021,*4556,OK,-390.4,RUB,-390.4,RUB,19.0,Супермаркеты,5411.0,Перекрёсток,19,0,390.4
197,2021-11-28,28.11.2021,*4556,OK,-169.11,RUB,-169.11,RUB,8.0,Супермаркеты,5411.0,Перекрёсток,8,0,169.11
200,2021-11-26,26.11.2021,*4556,OK,-105.84,RUB,-105.84,RUB,5.0,Супермаркеты,5411.0,Колхоз,5,0,105.84
208,2021-11-25,25.11.2021,*4556,OK,-132.7,RUB,-132.7,RUB,6.0,Супермаркеты,5411.0,Перекрёсток,6,0,132.7
223,2021-11-23,23.11.2021,*4556,OK,-114.9,RUB,-114.9,RUB,5.0,Супермаркеты,5411.0,Перекрёсток,5,0,114.9
231,2021-11-23,23.11.2021,*4556,OK,-89.8,RUB,-89.8,RUB,4.0,Супермаркеты,5411.0,Перекрёсток,4,0,89.8
242,2021-11-22,22.11.2021,*4556,OK,-675.94,RUB,-675.94,RUB,33.0,Супермаркеты,5411.0,Магнит,33,0,675.94
243,2021-11-22,22.11.2021,*4556,OK,-89.8,RUB,-89.8,RUB,4.0,Супермаркеты,5411.0,Перекрёсток,4,0,89.8
246,2021-11-21,21.11.2021,*4556,OK,-147.76,RUB,-147.76,RUB,7.0,Супермаркеты,5411.0,Перекрёсток,7,0,147.76
247,2021-11-21,21.11.2021,*4556,OK,-272.93,RUB,-272.93,RUB,13.0,Супермаркеты,5411.0,Магнит,13,0,272.93
251,2021-11-20,20.11.2021,*4556,OK,-180.93,RUB,-180.93,RUB,9.0,Супермаркеты,5411.0,Дикси,9,0,180.93
252,2021-11-20,20.11.2021,*4556,OK,-19.99,RUB,-19.99,RUB,,Супермаркеты,5411.0,Градусы,0,0,19.99
254,2021-11-19,19.11.2021,*4556,OK,-339.9,RUB,-339.9,RUB,16.0,Супермаркеты,5411.0,Перекрёсток,16,0,339.9
258,2021-11-19,19.11.2021,*4556,OK,-1620.27,RUB,-1620.27,RUB,81.0,Супермаркеты,5411.0,Перекрёсток,81,0,1620.27
266,2021-11-18,18.11.2021,*4556,OK,-392.26,RUB,-392.26,RUB,19.0,Супермаркеты,5411.0,Перекрёсток,19,0,392.26
267,2021-11-18,18.11.2021,*4556,OK,-241.42,RUB,-241.42,RUB,12.0,Супермаркеты,5411.0,Перекрёсток,12,0,241.42
279,2021-11-16,16.11.2021,*4556,OK,-69.99,RUB,-69.99,RUB,3.0,Супермаркеты,5411.0,Магнит,3,0,69.99
280,2021-11-16,16.11.2021,*4556,OK,-88.14,RUB,-88.14,RUB,4.0,Супермаркеты,5411.0,Колхоз,4,0,88.14
282,2021-11-15,15.11.2021,*4556,OK,-127.8,RUB,-127.8,RUB,6.0,Супермаркеты,5411.0,Перекрёсток,6,0,127.8
283,2021-11-15,15.11.2021,*4556,OK,-387.96,RUB,-387.96,RUB,19.0,Супермаркеты,5411.0,Магнит Косметик,19,0,387.96
290,2021-11-14,14.11.2021,*4556,OK,-33.9,RUB,-33.9,RUB,1.0,Супермаркеты,5411.0,Перекрёсток,1,0,33.9
291,2021-11-14,14.11.2021,*4556,OK,-127.8,RUB,-127.8,RUB,6.0,Супермаркеты,5411.0,Перекрёсток,6,0,127.8
292,2021-11-13,13.11.2021,*4556,OK,-191.7,RUB,-191.7,RUB,9.0,Супермаркеты,5411.0,Перекрёсток,9,0,191.7
302,2021-11-12,12.11.2021,*4556,OK,-100.36,RUB,-100.36,RUB,5.0,Супермаркеты,5411.0,Колхоз,5,0,100.36
304,2021-11-12,12.11.2021,*4556,OK,-292.93,RUB,-292.93,RUB,14.0,Супермаркеты,5411.0,Магнит,14,0,292.93
305,2021-11-11,12.11.2021,*4556,OK,-162.67,RUB,-162.67,RUB,8.0,Супермаркеты,5411.0,Перекрёсток,8,0,162.67
308,2021-11-11,11.11.2021,*4556,OK,-99.32,RUB,-99.32,RUB,4.0,Супермаркеты,5411.0,Колхоз,4,0,99.32
309,2021-11-10,11.11.2021,*4556,OK,-89.8,RUB,-89.8,RUB,4.0,Супермаркеты,5411.0,Перекрёсток,4,0,89.8
315,2021-11-09,09.11.2021,*4556,OK,-184.7,RUB,-184.7,RUB,9.0,Супермаркеты,5411.0,Перекрёсток,9,0,184.7
317,2021-11-08,09.11.2021,*4556,OK,-105.89,RUB,-105.89,RUB,5.0,Супермаркеты,5411.0,Магнит,5,0,105.89
321,2021-11-08,08.11.2021,*4556,OK,-100.36,RUB,-100.36,RUB,5.0,Супермаркеты,5411.0,Колхоз,5,0,100.36
322,2021-11-08,08.11.2021,*4556,OK,-876.97,RUB,-876.97,RUB,43.0,Супермаркеты,5411.0,Перекрёсток,43,0,876.97
325,2021-11-07,07.11.2021,*4556,OK,-304.59,RUB,-304.59,RUB,15.0,Супермаркеты,5411.0,Перекрёсток,15,0,304.59
327,2021-11-07,07.11.2021,*4556,OK,-39.9,RUB,-39.9,RUB,1.0,Супермаркеты,5411.0,Перекрёсток,1,0,39.9
328,2021-11-06,07.11.2021,*4556,OK,-119.8,RUB,-119.8,RUB,5.0,Супермаркеты,5411.0,Перекрёсток,5,0,119.8
329,2021-11-06,06.11.2021,*4556,OK,-119.8,RUB,-119.8,RUB,5.0,Супермаркеты,5411.0,Перекрёсток,5,0,119.8
330,2021-11-05,06.11.2021,*4556,OK,-114.9,RUB,-114.9,RUB,5.0,Супермаркеты,5411.0,Перекрёсток,5,0,114.9
332,2021-11-05,05.11.2021,*4556,OK,-103.8,RUB,-103.8,RUB,5.0,Супермаркеты,5411.0,Перекрёсток,5,0,103.8
333,2021-11-05,05.11.2021,*4556,OK,-372.0,RUB,-372.0,RUB,18.0,Супермаркеты,5411.0,Колхоз,18,0,372.0
334,2021-11-05,05.11.2021,*4556,OK,-569.94,RUB,-569.94,RUB,28.0,Супермаркеты,5411.0,Колхоз,28,0,569.94
335,2021-11-05,05.11.2021,*4556,OK,-205.23,RUB,-205.23,RUB,10.0,Супермаркеты,5411.0,Магнит,10,0,205.23
336,2021-11-05,05.11.2021,*4556,OK,-143.82,RUB,-143.82,RUB,7.0,Супермаркеты,5411.0,Дикси,7,0,143.82
340,2021-11-04,05.11.2021,*4556,OK,-241.93,RUB,-241.93,RUB,12.0,Супермаркеты,5411.0,Магнит,12,0,241.93
341,2021-11-04,04.11.2021,*4556,OK,-395.92,RUB,-395.92,RUB,19.0,Супермаркеты,5411.0,Магнит,19,0,395.92
343,2021-11-04,04.11.2021,*4556,OK,-224.0,RUB,-224.0,RUB,11.0,Супермаркеты,5411.0,Колхоз,11,0,224.0
348,2021-11-03,03.11.2021,*4556,OK,-96.98,RUB,-96.98,RUB,4.0,Супермаркеты,5411.0,Колхоз,4,0,96.98
351,2021-11-03,03.11.2021,*4556,OK,-153.29,RUB,-153.29,RUB,7.0,Супермаркеты,5411.0,Магнит,7,0,153.29
356,2021-11-02,02.11.2021,*4556,OK,-90.65,RUB,-90.65,RUB,4.0,Супермаркеты,5411.0,Колхоз,4,0,90.65
357,2021-11-02,02.11.2021,*4556,OK,-57.16,RUB,-57.16,RUB,2.0,Супермаркеты,5411.0,Магнит,2,0,57.16
358,2021-11-02,02.11.2021,*4556,OK,-53.99,RUB,-53.99,RUB,2.0,Супермаркеты,5411.0,Магнит,2,0,53.99
359,2021-11-02,02.11.2021,*4556,OK,-68.0,RUB,-68.0,RUB,3.0,Супермаркеты,5411.0,Колхоз,3,0,68.0
360,2021-11-02,02.11.2021,*4556,OK,-69.99,RUB,-69.99,RUB,3.0,Супермаркеты,5411.0,Магнит,3,0,69.99
362,2021-11-01,01.11.2021,*4556,OK,-228.0,RUB,-228.0,RUB,11.0,Супермаркеты,5411.0,Колхоз,11,0,228.0
370,2021-10-30,31.10.2021,*7197,OK,-145.97,RUB,-145.97,RUB,,Супермаркеты,5411.0,Магнит,2,0,145.97
373,2021-10-29,29.10.2021,*7197,OK,-188.0,RUB,-188.0,RUB,,Супермаркеты,5411.0,Колхоз,3,0,188.0
377,2021-10-28,29.10.2021,*7197,OK,-86.98,RUB,-86.98,RUB,,Супермаркеты,5411.0,Магнит,1,0,86.98
379,2021-10-28,28.10.2021,*7197,OK,-390.94,RUB,-390.94,RUB,,Супермаркеты,5411.0,Магнит,7,0,390.94
383,2021-10-27,28.10.2021,*7197,OK,-109.98,RUB,-109.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,109.98
384,2021-10-27,27.10.2021,*7197,OK,-238.84,RUB,-238.84,RUB,,Супермаркеты,5411.0,Магнит,4,0,238.84
387,2021-10-27,27.10.2021,*7197,OK,-90.9,RUB,-90.9,RUB,,Супермаркеты,5411.0,Колхоз,1,0,90.9
388,2021-10-26,26.10.2021,*7197,OK,-106.0,RUB,-106.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,106.0
396,2021-10-25,25.10.2021,*7197,OK,-135.47,RUB,-135.47,RUB,,Супермаркеты,5411.0,Колхоз,2,0,135.47
402,2021-10-24,24.10.2021,*7197,OK,-74.48,RUB,-74.48,RUB,,Супермаркеты,5411.0,Магнит,1,0,74.48
408,2021-10-23,23.10.2021,*7197,OK,-429.69,RUB,-429.69,RUB,,Супермаркеты,5411.0,Дикси,8,0,429.69
411,2021-10-23,23.10.2021,*7197,OK,-55.99,RUB,-55.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,55.99
412,2021-10-22,22.10.2021,*7197,OK,-134.67,RUB,-134.67,RUB,,Супермаркеты,5411.0,Магнит,2,0,134.67
415,2021-10-22,22.10.2021,*7197,OK,-91.88,RUB,-91.88,RUB,,Супермаркеты,5411.0,Колхоз,1,0,91.88
428,2021-10-21,21.10.2021,*7197,OK,-26.99,RUB,-26.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,26.99
432,2021-10-20,20.10.2021,*7197,OK,-110.16,RUB,-110.16,RUB,,Супермаркеты,5411.0,Дикси,2,0,110.16
433,2021-10-20,20.10.2021,*7197,OK,-100.0,RUB,-100.0,RUB,,Супермаркеты,5499.0,OOO Sochnyy arbuz,2,0,100.0
435,2021-10-20,20.10.2021,*7197,OK,-350.95,RUB,-350.95,RUB,,Супермаркеты,5411.0,Магнит,7,0,350.95
451,2021-10-17,18.10.2021,*7197,OK,-55.99,RUB,-55.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,55.99
453,2021-10-17,17.10.2021,*7197,OK,-111.98,RUB,-111.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,111.98
463,2021-10-15,15.10.2021,*7197,OK,-159.97,RUB,-159.97,RUB,,Супермаркеты,5411.0,Магнит,3,0,159.97
466,2021-10-14,14.10.2021,*7197,OK,-154.98,RUB,-154.98,RUB,,Супермаркеты,5411.0,Магнит,3,0,154.98
468,2021-10-14,14.10.2021,*7197,OK,-111.57,RUB,-111.57,RUB,,Супермаркеты,5411.0,Дикси,2,0,111.57
470,2021-10-14,14.10.2021,*7197,OK,-98.98,RUB,-98.98,RUB,,Супермаркеты,5411.0,Магнит,1,0,98.98
475,2021-10-13,13.10.2021,*7197,OK,-58.38,RUB,-58.38,RUB,,Супермаркеты,5411.0,Колхоз,1,0,58.38
476,2021-10-13,13.10.2021,*7197,OK,-158.35,RUB,-158.35,RUB,,Супермаркеты,5411.0,Дикси,3,0,158.35
479,2021-10-12,12.10.2021,*7197,OK,-219.32,RUB,-219.32,RUB,,Супермаркеты,5411.0,Prisma,4,0,219.32
481,2021-10-12,12.10.2021,*7197,OK,-152.0,RUB,-152.0,RUB,,Супермаркеты,5411.0,Колхоз,3,0,152.0
486,2021-10-11,11.10.2021,*7197,OK,-182.87,RUB,-182.87,RUB,,Супермаркеты,5411.0,Магнит,3,0,182.87
487,2021-10-11,11.10.2021,*7197,OK,-136.76,RUB,-136.76,RUB,,Супермаркеты,5411.0,Дикси,2,0,136.76
490,2021-10-11,11.10.2021,*7197,OK,-568.75,RUB,-568.75,RUB,,Супермаркеты,5411.0,Магнит,11,0,568.75
491,2021-10-10,11.10.2021,*7197,OK,-111.98,RUB,-111.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,111.98
495,2021-10-10,10.10.2021,*7197,OK,-231.96,RUB,-231.96,RUB,,Супермаркеты,5411.0,Магнит,4,0,231.96
499,2021-10-09,09.10.2021,*7197,OK,-185.98,RUB,-185.98,RUB,,Супермаркеты,5411.0,Магнит,3,0,185.98
501,2021-10-08,08.10.2021,*7197,OK,-34.0,RUB,-34.0,RUB,,Супермаркеты,5411.0,Колхоз,0,0,34.0
503,2021-10-08,08.10.2021,*7197,OK,-59.47,RUB,-59.47,RUB,,Супермаркеты,5411.0,Колхоз,1,0,59.47
508,2021-10-08,08.10.2021,*7197,OK,-133.97,RUB,-133.97,RUB,,Супермаркеты,5411.0,Магнит,2,0,133.97
510,2021-10-07,07.10.2021,*7197,OK,-7.99,RUB,-7.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,7.99
511,2021-10-07,07.10.2021,*7197,OK,-111.78,RUB,-111.78,RUB,,Супермаркеты,5411.0,Дикси,2,0,111.78
512,2021-10-07,07.10.2021,*7197,OK,-196.33,RUB,-196.33,RUB,,Супермаркеты,5411.0,Колхоз,3,0,196.33
518,2021-10-06,06.10.2021,*7197,OK,-94.82,RUB,-94.82,RUB,,Супермаркеты,5411.0,Колхоз,1,0,94.82
520,2021-10-05,05.10.2021,*7197,OK,-163.97,RUB,-163.97,RUB,,Супермаркеты,5411.0,Магнит,3,0,163.97
523,2021-10-05,05.10.2021,*7197,OK,-220.95,RUB,-220.95,RUB,,Супермаркеты,5411.0,Магнит,4,0,220.95
530,2021-10-04,04.10.2021,*7197,OK,-108.56,RUB,-108.56,RUB,,Супермаркеты,5411.0,Колхоз,2,0,108.56
531,2021-10-04,04.10.2021,*7197,OK,-1195.77,RUB,-1195.77,RUB,,Супермаркеты,5411.0,Магнит,23,0,1195.77
536,2021-10-03,03.10.2021,*7197,OK,-152.0,RUB,-152.0,RUB,,Супермаркеты,5411.0,Колхоз,3,0,152.0
540,2021-10-03,03.10.2021,*7197,OK,-105.98,RUB,-105.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,105.98
541,2021-10-03,03.10.2021,*7197,OK,-167.97,RUB,-167.97,RUB,,Супермаркеты,5411.0,Магнит,3,0,167.97
549,2021-10-01,01.10.2021,*7197,OK,-96.78,RUB,-96.78,RUB,,Супермаркеты,5411.0,Колхоз,1,0,96.78
552,2021-09-30,30.09.2021,*7197,OK,-149.64,RUB,-149.64,RUB,,Супермаркеты,5411.0,Колхоз,2,0,149.64
554,2021-09-30,30.09.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
